Timestamp,Emotion
2025-07-04 18:51:41,Sad
2025-07-04 18:51:41,Sad
2025-07-04 18:51:41,Sad
2025-07-04 18:51:41,Sad
2025-07-04 18:51:42,Doubt
2025-07-04 18:51:42,Doubt
2025-07-04 18:51:42,Doubt
2025-07-04 18:51:42,Doubt
2025-07-04 18:51:43,Doubt
2025-07-04 18:51:43,Doubt
2025-07-04 18:51:43,Doubt
2025-07-04 18:51:43,Doubt
2025-07-04 18:51:44,Doubt
2025-07-04 18:51:44,Doubt
2025-07-04 18:51:44,Doubt
2025-07-04 18:51:44,Doubt
2025-07-04 18:51:45,Doubt
2025-07-04 18:51:45,Doubt
2025-07-04 18:51:45,Doubt
2025-07-04 18:51:45,Doubt
2025-07-04 18:51:45,Doubt
2025-07-04 18:51:45,Doubt
2025-07-04 18:51:46,Doubt
2025-07-04 18:51:46,Doubt
2025-07-04 18:51:46,Doubt
2025-07-04 18:51:46,Doubt
2025-07-04 18:51:47,Doubt
2025-07-04 18:51:47,Doubt
2025-07-04 18:51:47,Doubt
2025-07-04 18:51:47,Doubt
2025-07-04 18:51:48,Doubt
2025-07-04 18:51:48,Doubt
2025-07-04 18:51:48,Doubt
2025-07-04 18:51:48,Doubt
2025-07-04 18:51:49,Doubt
2025-07-04 18:51:49,Doubt
2025-07-04 18:51:49,Sad
2025-07-04 18:51:49,Sad
2025-07-04 18:51:50,Sad
2025-07-04 18:51:50,Sad
2025-07-04 18:51:50,Sad
2025-07-04 18:51:50,Sad
2025-07-04 18:51:51,Doubt
2025-07-04 18:51:51,Doubt
2025-07-04 18:51:51,Doubt
2025-07-04 18:51:51,Doubt
2025-07-04 18:51:52,Doubt
2025-07-04 18:51:52,Doubt
2025-07-04 18:51:52,Doubt
2025-07-04 18:51:52,Doubt
2025-07-04 18:51:52,Sad
2025-07-04 18:51:52,Sad
2025-07-04 18:51:53,Sad
2025-07-04 18:51:53,Sad
2025-07-04 18:51:53,Sad
2025-07-04 18:51:53,Sad
2025-07-04 18:51:54,Doubt
2025-07-04 18:51:54,Doubt
2025-07-04 18:51:54,Doubt
2025-07-04 18:51:54,Doubt
2025-07-04 18:51:55,Doubt
2025-07-04 18:51:55,Doubt
2025-07-04 18:51:55,Doubt
2025-07-04 18:51:55,Doubt
2025-07-04 18:51:56,Sad
2025-07-04 18:51:56,Sad
2025-07-04 18:51:56,Sad
2025-07-04 18:51:56,Sad
